,R_Peaks0
0,16
1,260
2,570
3,871
4,1175
5,1477
6,1790
7,2122
8,2439
9,2739
10,3039
11,3342
12,3642
13,3949
14,4277
15,4604
16,4934
17,5250
18,5575
19,5887
20,6211
21,6548
22,6868
23,7173
24,7476
25,7776
26,8092
27,8412
28,8734
29,9055
30,9356
31,9658
32,9958
33,10274
34,10592
35,10905
36,11218
37,11515
38,11798
39,12092
40,12390
41,12693
42,12996
43,13295
44,13593
45,13881
46,14164
47,14456
48,14764
49,15077
50,15378
51,15678
52,15972
53,16264
54,16570
55,16881
56,17214
57,17531
58,17832
59,18141
60,18440
61,18734
62,19043
63,19361
64,19683
65,19985
66,20281
67,20588
68,20888
69,21195
70,21512
71,21832
72,22131
73,22418
74,22722
75,23021
76,23322
77,23634
78,23950
79,24263
80,24556
81,24855
82,25160
83,25460
84,25768
85,26077
86,26384
87,26679
88,26969
89,27267
90,27569
91,27869
92,28181
93,28486
94,28779
95,29059
96,29339
97,29645
98,29950
99,30254
100,30569
101,30875
102,31176
103,31473
104,31787
105,32111
106,32431
107,32753
108,33060
109,33369
110,33673
111,33975
112,34303
113,34624
114,34933
115,35234
116,35535
117,35841
118,36149
119,36471
120,36799
121,37110
122,37413
123,37713
124,38021
125,38327
126,38642
127,38969
128,39279
129,39573
130,39868
131,40173
132,40475
133,40783
134,41100
135,41408
136,41701
137,41991
138,42281
139,42586
140,42896
141,43198
142,43516
143,43822
144,44108
145,44399
146,44699
147,45009
148,45318
149,45624
150,45925
151,46211
152,46493
153,46779
154,47086
155,47385
156,47678
157,47973
158,48257
159,48536
160,48821
161,49109
162,49417
163,49723
164,50019
165,50320
166,50613
167,50902
168,51205
169,51514
170,51835
171,52143
172,52442
173,52745
174,53040
175,53331
176,53636
177,53947
178,54251
179,54545
180,54835
181,55121
182,55405
183,55701
184,56000
185,56299
186,56585
187,56859
188,57142
189,57434
190,57732
191,58048
192,58370
193,58697
194,59019
195,59338
196,59655
197,59972
198,60290
199,60618
200,60937
201,61240
202,61533
203,61842
204,62155
205,62468
206,62787
207,63101
208,63408
209,63705
210,64018
211,64351
212,64678
213,65008
214,65322
215,65634
216,65934
217,66234
218,66568
219,66891
220,67205
221,67519
222,67826
223,68131
224,68437
225,68767
226,69098
227,69422
228,69735
229,70047
230,70358
231,70673
232,71005
233,71340
234,71665
235,71976
236,72282
237,72593
238,72901
239,73223
240,73554
241,73862
242,74161
243,74455
244,74761
245,75066
246,75373
247,75698
248,76006
249,76294
250,76589
251,76886
252,77188
253,77496
254,77808
255,78120
256,78410
257,78693
258,78980
259,79284
260,79589
261,79891
262,80201
263,80501
264,80788
265,81081
266,81369
267,81683
268,81990
269,82287
270,82600
271,82898
272,83183
273,83479
274,83783
275,84098
276,84399
277,84694
278,84987
279,85269
280,85542
281,85830
282,86132
283,86435
284,86729
285,87019
286,87306
287,87586
288,87867
289,88161
290,88465
291,88764
292,89051
293,89335
294,89624
295,89902
296,90189
297,90491
298,90797
299,91098
300,91383
301,91669
302,91961
303,92247
304,92545
305,92846
306,93148
307,93435
308,93714
309,93999
310,94283
311,94570
312,94870
313,95160
314,95450
315,95717
316,95973
317,96232
318,96505
319,96785
320,97073
321,97371
322,97668
323,97965
324,98251
325,98551
326,98877
327,99184
328,99490
329,99800
330,100103
331,100397
332,100685
333,100998
334,101321
335,101637
336,101955
337,102267
338,102575
339,102879
340,103196
341,103522
342,103842
343,104160
344,104470
345,104785
346,105091
347,105410
348,105753
349,106078
350,106393
351,106700
352,107014
353,107330
354,107648
355,107988
356,108315
357,108614
358,108917
359,109224
360,109533
361,109843
362,110167
363,110484
364,110787
365,111084
366,111384
367,111700
368,112016
369,112335
370,112654
371,112956
372,113253
373,113553
374,113872
375,114198
376,114521
377,114854
378,115170
379,115472
380,115777
381,116090
382,116412
383,116730
384,117047
385,117353
386,117652
387,117956
388,118268
389,118592
390,118910
391,119224
392,119535
393,119833
394,120129
395,120433
396,120753
397,121071
398,121374
399,121674
400,121966
401,122255
402,122558
403,122869
404,123183
405,123486
406,123771
407,124068
408,124357
409,124641
410,124944
411,125251
412,125556
413,125849
414,126137
415,126440
416,126746
417,127057
418,127378
419,127708
420,128024
421,128322
422,128633
423,128945
424,129262
425,129581
426,129896
427,130204
428,130495
429,130788
430,131099
431,131405
432,131709
433,132022
434,132333
435,132625
436,132914
437,133212
438,133512
439,133803
440,134085
441,134363
442,134646
443,134927
444,135223
445,135551
446,135894
447,136226
448,136558
449,136890
450,137216
451,137537
452,137889
453,138228
454,138553
455,138869
456,139186
457,139501
458,139814
459,140150
460,140484
461,140801
462,141110
463,141420
464,141733
465,142044
466,142371
467,142696
468,143006
469,143308
470,143609
471,143915
472,144215
473,144524
474,144846
475,145152
476,145447
477,145737
478,146041
479,146354
480,146667
481,146989
482,147312
483,147614
484,147919
485,148227
486,148552
487,148874
488,149191
489,149520
