,ECG0
0,0.124960914
1,0.124774798
2,0.124589016
3,0.120712777
4,0.120527693
5,0.120342972
6,0.122004022
7,0.129201655
8,0.129018075
9,0.125144093
10,0.126806721
11,0.124778964
12,0.128287835
13,0.129951739
14,0.133461488
15,0.135126289
16,0.133100749
17,0.132921081
18,0.138278093
19,0.139944791
20,0.145302787
21,0.146970486
22,0.144947898
23,0.144771232
24,0.148285898
25,0.155491904
26,0.166389259
27,0.166214765
28,0.167886237
29,0.171403681
30,0.176767106
31,0.185821921
32,0.196722734
33,0.198397148
34,0.198226774
35,0.207284023
36,0.2126511
37,0.223555014
38,0.234459572
39,0.23982858
40,0.243352846
41,0.250568579
42,0.255939586
43,0.266847475
44,0.277756052
45,0.281283723
46,0.282966695
47,0.282804976
48,0.291870977
49,0.295401498
50,0.304468952
51,0.302464738
52,0.30784287
53,0.303994748
54,0.313065186
55,0.314754785
56,0.318290552
57,0.321827093
58,0.317982813
59,0.31413932
60,0.31583282
61,0.311990917
62,0.308149817
63,0.304309527
64,0.29677925
65,0.283713592
66,0.281721163
67,0.277884163
68,0.272202599
69,0.259140273
70,0.249769594
71,0.233018162
72,0.22733999
73,0.219817277
74,0.215986229
75,0.204774448
76,0.197254341
77,0.189735112
78,0.185907565
79,0.182080904
80,0.174564332
81,0.170739455
82,0.168760876
83,0.164937798
84,0.159270224
85,0.160985161
86,0.159010209
87,0.158881574
88,0.151372254
89,0.15124546
90,0.15111959
91,0.15284005
92,0.154561441
93,0.148902165
94,0.150625428
95,0.146813429
96,0.150383976
97,0.146573866
98,0.150146306
99,0.148183494
100,0.149912437
101,0.144260733
102,0.142300788
103,0.145878004
104,0.151301582
105,0.154880724
106,0.149233828
107,0.147278702
108,0.149015347
109,0.158134565
110,0.156182353
111,0.154231115
112,0.154126254
113,0.152176971
114,0.157610269
115,0.161199147
116,0.162943607
117,0.160998248
118,0.157208474
119,0.157110485
120,0.157013484
121,0.164299072
122,0.164204046
123,0.164110009
124,0.162171562
125,0.156543305
126,0.158297641
127,0.165589171
128,0.163654691
129,0.159875803
130,0.159788711
131,0.157857211
132,0.157772107
133,0.163224199
134,0.164986485
135,0.159368163
136,0.155596238
137,0.151825307
138,0.153591574
139,0.155358835
140,0.155281692
141,0.157050943
142,0.151439588
143,0.149520028
144,0.149446863
145,0.151220092
146,0.152994315
147,0.14923333
148,0.143627936
149,0.143559737
150,0.14533793
151,0.147117113
152,0.148897287
