Cardiac Cycle (beat),ECG_P_Peaks,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Peaks,Px,Py,Qx,Qy,Rx,Ry,Sx,Sy,Tx,Ty,OnQRS_x,OffQRS_x,OnQRS_y,OffQRS_y,PPinterval,QQinterval,RRinterval,SSinterval,TTinterval,PP2,QQ2,RR2,SS2,TT2,P-Pamplitude,Q-Qamplitude,R-Ramplitude,S-Samplitude,T-Tamplitude,R-R2amplitude,Q-Q2amplitude,R-R2amplitude,S-S2amplitude,T-T2amplitude,P->R interval,Q->S interval,Q->T interval,T->Q interval,P->R segment,S->T segment,PQ_y_diff,QR_y_diff,RS_y_diff,ST_y_diff,HRV-RRinterval,HRV-PreRRinterval,HRV-PosRRinterval,HPF X4,HPF X5
1,191,210,215,223,244,0,0.0175781,19,-0.355957,24,0.8085939999999999,32,-0.10986300000000002,53,0.00439453,9.5,42.5,-0.32959,-0.0285645,0,-1,0,-1,32,397,396,397,396,429,0.08789090000000001,-0.05273399999999995,-0.13403299999999996,-0.010986999999999983,0.01977537,-0.13403299999999996,-0.05273399999999995,-0.13403299999999996,-0.010986999999999983,0.01977537,24,13,34,171,24,21,-0.3735351,1.164551,-0.918457,0.11425753000000001,215,0,206,215,-9
2,397,415,421,428,482,0,0.10546900000000001,18,-0.40869099999999997,24,0.674561,31,-0.12085,85,0.0241699,9.0,58.0,-0.32959,-0.039550800000000004,0,1,4,8,-41,453,454,457,461,412,-0.10546900000000001,0.3911129,-0.6481937999999999,0.1054691,-0.006591800000000002,-0.6481937999999999,0.3911129,-0.6481937999999999,0.1054691,-0.006591800000000002,24,13,67,-10,24,54,-0.51416,1.0832519999999999,-0.795411,0.1450199,206,215,60,-9,-146
3,453,472,481,492,497,0,0.0,19,-0.0175781,28,0.026367200000000004,39,-0.0153809,44,0.0175781,9.5,41.5,-0.32959,-0.026367200000000004,0,1,-3,-6,45,603,604,600,597,648,0.0175781,-0.30761689999999997,0.6965328,-0.07910149999999999,0.006591800000000002,0.6965328,-0.30761689999999997,0.6965328,-0.07910149999999999,0.006591800000000002,28,20,25,126,28,5,-0.0175781,0.04394530000000001,-0.0417481,0.032959,60,206,147,-146,87
4,603,623,628,636,692,0,0.0175781,20,-0.32519499999999996,25,0.7229,33,-0.0944824,89,0.0241699,10.0,61.0,-0.44824200000000003,-0.0153809,0,-4,-4,-5,-4,817,813,813,812,813,-0.004394499999999997,0.021971999999999936,0.04174800000000001,-0.0175786,0.0043945999999999985,0.04174800000000001,0.021971999999999936,0.04174800000000001,-0.0175786,0.0043945999999999985,25,13,69,141,25,56,-0.34277309999999994,1.048095,-0.8173824,0.11865229999999999,147,60,210,87,63
5,817,833,838,845,902,0,0.013183600000000002,16,-0.303223,21,0.764648,28,-0.112061,85,0.0285645,8.0,56.5,-0.19775399999999999,-0.0285645,0,5,3,3,-45,877,882,880,880,832,-0.019775400000000002,0.30542027,-0.7250972,0.10107469999999999,-0.006591799999999998,-0.7250972,0.30542027,-0.7250972,0.10107469999999999,-0.006591799999999998,21,12,69,-4,21,57,-0.31640660000000004,1.067871,-0.876709,0.1406255,210,147,63,63,-147
6,877,898,901,908,917,0,-0.006591800000000001,21,0.00219727,24,0.039550800000000004,31,-0.0109863,40,0.0219727,10.5,35.5,-0.44824200000000003,-0.032958999999999995,0,-1,1,1,48,1023,1022,1024,1024,1071,0.0175781,-0.28564427,0.7734372,-0.12084969999999998,0.010986299999999994,0.7734372,-0.28564427,0.7734372,-0.12084969999999998,0.010986299999999994,24,10,19,126,24,9,0.008789070000000001,0.03735353,-0.0505371,0.032959,63,210,147,-147,84
7,1023,1043,1048,1055,1111,0,0.0109863,20,-0.283447,25,0.812988,32,-0.13183599999999998,88,0.032958999999999995,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,-1,-1,0,0,1238,1237,1237,1238,1238,0.010986400000000002,-0.087891,-0.07690400000000008,0.030761999999999984,-0.013183599999999993,-0.07690400000000008,-0.087891,-0.07690400000000008,0.030761999999999984,-0.013183599999999993,25,12,68,146,25,56,-0.2944333,1.096435,-0.944824,0.16479499999999997,147,63,214,84,67
8,1238,1257,1262,1270,1326,0,0.0219727,19,-0.371338,24,0.736084,32,-0.101074,88,0.019775400000000002,9.5,60.0,-0.32959,-0.013183600000000002,0,10,10,10,-21,1443,1453,1453,1453,1422,0.024169899999999998,-0.06591800000000003,-0.07470699999999997,0.0,0.1010746,-0.07470699999999997,-0.06591800000000003,-0.07470699999999997,0.0,0.1010746,24,13,69,146,24,56,-0.3933107,1.107422,-0.837158,0.1208494,214,147,215,67,1
9,1443,1472,1477,1485,1510,0,0.0461426,29,-0.43725600000000003,34,0.661377,42,-0.101074,67,0.12085,14.5,54.5,0.0637207,-0.032958999999999995,0,-13,-12,-13,17,1671,1658,1659,1658,1688,-0.0307617,0.054932000000000036,0.035155999999999965,-0.00439500000000001,-0.087891,0.035155999999999965,0.054932000000000036,0.035155999999999965,-0.00439500000000001,-0.087891,34,13,38,177,34,25,-0.4833986,1.098633,-0.762451,0.221924,215,214,216,1,1
10,1671,1687,1693,1700,1755,0,0.0153809,16,-0.382324,22,0.696533,29,-0.10546900000000001,84,0.032958999999999995,8.0,56.5,-0.19775399999999999,-0.0285645,0,2,2,4,2,1881,1883,1883,1885,1883,-0.0285645,-0.015381000000000034,0.16918999999999995,0.010986600000000013,0.0043945000000000095,0.16918999999999995,-0.015381000000000034,0.16918999999999995,0.010986600000000013,0.0043945000000000095,22,13,68,144,22,55,-0.3977049,1.078857,-0.802002,0.138428,216,215,212,1,-4
